volontà	intenzione	bn:16772028n	bn:01088660n	volontà,forza di volontà	intenzionalità,intenzione
bussola	elefante	bn:00070237n	bn:00030314n	bussola,portantina	elefante,elefanti
seguito	macchina fotografica	bn:01613512n	bn:03696084n	following,seguito	fotocamera,macchina fotografica,macchinetta fotografica
film	pellicola	bn:00034471n	bn:00034471n	film,opera cinematografica,pellicola	film,opera cinematografica,pellicola
sergente	pistola	bn:00042248n	bn:00042221n	gunnery sergeant,sergente	arma da fuoco,pistola,arma a fuoco
mulino	seme	bn:03182991n	bn:00874731n	mulino (gioco),feldja,merels	seme
gelato	colazione	bn:03257950n	bn:00012930n	gelato,gelateria	colazione,prima colazione
chiave	serratura	bn:00048985n	bn:00051771n	chiave,chiave (serratura),keycard	chiusura,serratura,lucchetto
cellulare	telefono	bn:00017029n	bn:00062020n	cellulare,telefonino,telefono cellulare	telefono,apparecchio telefonico,telefono fisso
scuola materna	asilo	bn:00058333n	bn:00058333n	asilo,asilo infantile,giardino d'infanzia	asilo,giardino d'infanzia,scuola materna
mondo occidentale	western union	bn:00080927n	bn:03363271n	civiltà occidentale,cultura occidentale,mondo occidentale	fred il ribelle,western union
piantina	foglia	bn:00070270n	bn:00035596n	plantula,germoglio,piantina	foglia,chioma,fogliame
pioggia	grandine	bn:00066032n	bn:00042519n	acqua,pioggia,acqua piovana	gragnola,grandine,grandinata
felicità	tristezza	bn:00042905n	bn:00068782n	contentezza,contento,felicità	infelicità,tristezza
baco da seta	bruco	bn:00071605n	bn:00015281n	baco da seta	bruco
surf	sport acquatico	Null	Null	Null	Null
macchina	camion	bn:00007309n	bn:00056059n	auto,automobile,autovettura	carro attrezzi,autocarro,camion
cibo	programma	bn:00035649n	bn:00064646n	cibo,sostanza nutritiva,principi nutritivi	programma
romanzo a fumetti	fumetto	bn:00143485n	bn:00020927n	romanzo grafico,graphic novel,romanzo a fumetti	albo,album,giornaletto
serpente	lucertola	bn:00070627n	bn:01397780n	serpente (costellazione),serpente,costellazione del serpente	lucertola (costellazione),lucertola,costellazione della lucertola
ananas	smartphone	bn:00003817n	bn:00909458n	ananas,ananasso,ananas comosus	smartphone,smart phone,telefoni intelligenti
sfondo del desktop	sfondo	bn:16052021n	bn:16052021n	wallpaper,sfondo,sfondo del desktop	wallpaper,sfondo,sfondo del desktop
celsius	microsoft	bn:00003943n	bn:02195086n	anders celsius,grado celsius,celsius	modern ui,metro,metro design language
mietitrebbia	canna da zucchero	bn:01819332n	bn:00068723n	mietitrebbiatrice,mietitrebbia,mietitrebbie	canna da zucchero,saccharum officinarum,saccharum
jeans	donna	bn:02071330n	bn:00709806n	jeans	donna (nome),donna
matrice	vettore	bn:00005869n	bn:00005869n	array,vettore,vettori	array,vettore,vettori
anidride carbonica	co2	bn:00015867n	bn:00015867n	anidride carbonica,biossido di carbonio,diossido di carbonio	anidride carbonica,biossido di carbonio,diossido di carbonio
allenatore	giocatore	bn:03787052n	bn:00060799n	allenatore	giocatore,che partecipa,partecipante
sasso	legno	bn:00068045n	bn:00081492n	nocciolo,osso,pietra	legname,legno,alburno
caricabatteria	disco	bn:00009069n	bn:00027456n	caricabatterie,carica-batterie,carica batteria	disco,disco magnetico,drive (informatica)
manoscritto	articolo	bn:00044453n	bn:00006121n	manoscritto,manoscritti,copiatura	articolo
gmail	yahoo	bn:03378109n	bn:00081801n	gmail,google mail	yahoo!,yahoo,yahoo! movies
condensatore	diodo	bn:00015415n	bn:00024222n	condensatore,condensatore elettrico,capacità elettrica	diodo,1n4007,diodi
corruzione	frode	bn:00013045n	bn:00036292n	concussione,corruzione,corruzione ambientale	baratteria,fraudolenza,frode
coca cola	coca	bn:00020229n	bn:00020229n	coca,coca cola,coca-cola	coca,coca-cola,coca cola
platone	aristotele	bn:00062910n	bn:00005674n	platone,aristocle,5 generi sommi	aristotele,aristotile,il filosofo
guerra fredda	unione sovietica	bn:00020564n	bn:00068619n	guerra fredda	russia,unione delle repubbliche socialiste sovietiche,unione sovietica
ugello	fluido	bn:00058124n	bn:00035426n	boccaglio,effusore,ugello	fluido,liquido,fase fluida
fonologia	schermo	bn:00062034n	bn:00027675n	fonematica,fonemica,fonologia	display,monitor,video
zara	leggings	bn:00208437n	bn:00439545n	zara (azienda),zara,zara (abbigliamento)	leggings
gioco del calcio	calcio	bn:00006547n	bn:00006547n	calcio,football,pallone	calcio,football,pallone
germe	agente patogeno	bn:00054731n	bn:00013701n	microorganismo,microrganismo,organismo	agente patogeno,bacillo,bacterio
repubblica	duca	bn:00853212n	bn:01870789n	de re publica,de republica,la repubblica (cicerone)	duca (longobardi),duca,duca longobardo
palla	sfera	bn:00073310n	bn:00073310n	sfera,palla,sfere	sfera,palla,sfere
mozart	guerre stellari	bn:03224360n	bn:17104504n	mozart	guerre stellari (film),guerre stellari,star wars: episodio iv - una nuova speranza
maschera	festa	bn:00053637n	bn:00060836n	maschera,maschere,mascherina	festa,party,ricevimento
grand theft auto	gta	Null	Null	Null	Null
autostrada	strada	bn:00044128n	bn:00067975n	strada maestra,strada principale,superstrada	strada,via,via di comunicazione
reazione a catena	termodinamica	bn:00017506n	bn:00076867n	reazione a catena	termodinamica,principi della termodinamica,termodinamica classica
illustrazione	vescica	bn:00045772n	bn:00011187n	immagine,disegno,figura	bolla,flittena,galla
